N_MODEL,HIDDEN_SIZE,N_LAYERS,DIRECTIONS,RECALL,PRECISION,F1,RECALL_WO_O,PRECISION_WO_O,F1_WO_O
model_1,500,1,1,0.8399854421933762,0.8146134023550065,0.8046390868208179,0.2786396181384248,0.5949104088255407,0.33871538084093306
model_2,500,2,1,0.8257915807351692,0.7884804885128754,0.8022279051394042,0.3532219570405728,0.35021277931810385,0.32982910220376405
model_3,500,3,1,0.8401067572485745,0.8079937119419061,0.8167631898160622,0.3562052505966587,0.43888639896353304,0.36566612176987917
model_4,500,1,2,0.881475191071212,0.8653290689174635,0.8684197412124679,0.5286396181384249,0.6245220259160419,0.5541417190007665
model_5,500,2,2,0.8933640664806503,0.8988940561596037,0.8927860602715861,0.6288782816229117,0.6856540261878453,0.6408827342860186
model_6,500,3,2,0.8937280116462453,0.8966262226712546,0.8939748420100261,0.6443914081145584,0.6454613506266715,0.639024844506072
model_7,800,1,2,0.8781996845808565,0.8720842717383597,0.8738207293803187,0.5871121718377088,0.563842291567464,0.5689820965813142
model_8,800,2,2,0.9013708601237413,0.9054448099329806,0.9020676396412902,0.6903341288782816,0.6717908200664717,0.6745699561635875
model_9,800,3,2,0.8946985320878321,0.9072203585208211,0.8992970571487894,0.7183770883054893,0.6312134296317379,0.6680917986374244
